state,year,quarter,pincode,registered_users
Andaman & Nicobar Islands,2020,3,Unknown,1965
Andaman & Nicobar Islands,2020,3,Unknown,1718
Andaman & Nicobar Islands,2020,3,Unknown,1710
Andaman & Nicobar Islands,2020,3,Unknown,1372
Andaman & Nicobar Islands,2020,3,Unknown,1279
Andaman & Nicobar Islands,2020,3,Unknown,1008
Andaman & Nicobar Islands,2020,4,Unknown,10408
Andaman & Nicobar Islands,2020,4,Unknown,8962
Andaman & Nicobar Islands,2020,4,Unknown,8593
Andaman & Nicobar Islands,2020,4,Unknown,5882
Andaman & Nicobar Islands,2020,4,Unknown,2711
Andaman & Nicobar Islands,2020,4,Unknown,2346
Andaman & Nicobar Islands,2020,4,Unknown,2167
Andaman & Nicobar Islands,2020,4,Unknown,1761
Andaman & Nicobar Islands,2020,4,Unknown,1579
Andaman & Nicobar Islands,2020,4,Unknown,1346
Andaman & Nicobar Islands,2021,1,Unknown,11416
Andaman & Nicobar Islands,2021,1,Unknown,9934
Andaman & Nicobar Islands,2021,1,Unknown,9457
Andaman & Nicobar Islands,2021,1,Unknown,6395
Andaman & Nicobar Islands,2021,1,Unknown,3005
Andaman & Nicobar Islands,2021,1,Unknown,2586
Andaman & Nicobar Islands,2021,1,Unknown,2383
Andaman & Nicobar Islands,2021,1,Unknown,1940
Andaman & Nicobar Islands,2021,1,Unknown,1774
Andaman & Nicobar Islands,2021,1,Unknown,1505
Andaman & Nicobar Islands,2021,2,Unknown,12268
Andaman & Nicobar Islands,2021,2,Unknown,10668
Andaman & Nicobar Islands,2021,2,Unknown,10120
Andaman & Nicobar Islands,2021,2,Unknown,6837
Andaman & Nicobar Islands,2021,2,Unknown,3261
Andaman & Nicobar Islands,2021,2,Unknown,2783
Andaman & Nicobar Islands,2021,2,Unknown,2573
Andaman & Nicobar Islands,2021,2,Unknown,2083
Andaman & Nicobar Islands,2021,2,Unknown,1904
Andaman & Nicobar Islands,2021,2,Unknown,1626
Andaman & Nicobar Islands,2021,3,Unknown,13198
Andaman & Nicobar Islands,2021,3,Unknown,11480
Andaman & Nicobar Islands,2021,3,Unknown,10866
Andaman & Nicobar Islands,2021,3,Unknown,7313
Andaman & Nicobar Islands,2021,3,Unknown,3543
Andaman & Nicobar Islands,2021,3,Unknown,3027
Andaman & Nicobar Islands,2021,3,Unknown,2777
Andaman & Nicobar Islands,2021,3,Unknown,2250
Andaman & Nicobar Islands,2021,3,Unknown,2055
Andaman & Nicobar Islands,2021,3,Unknown,1771
Andaman & Nicobar Islands,2021,4,Unknown,14127
Andaman & Nicobar Islands,2021,4,Unknown,12300
