state,year,quarter,district,count,amount
Andhra Pradesh,2020,4,Vizianagaram,897,651040.0
Andhra Pradesh,2020,4,Visakhapatnam,3464,2203761.0
Andhra Pradesh,2020,4,Prakasam,1190,572976.0
Andhra Pradesh,2020,4,Anantapur,1534,794053.0
Andhra Pradesh,2020,4,Ysr,1165,631876.0
Andhra Pradesh,2020,4,West Godavari,1390,906282.0
Andhra Pradesh,2020,4,Kurnool,1092,500768.0
Andhra Pradesh,2020,4,Chittoor,1727,1168506.0
Andhra Pradesh,2020,4,Guntur,2570,1620649.0
Andhra Pradesh,2020,4,Krishna,2311,1222782.0
Andhra Pradesh,2021,1,East Godavari,1937,1065604.0
Andhra Pradesh,2021,1,Srikakulam,854,588769.0
Andhra Pradesh,2021,1,Spsr Nellore,1323,714947.0
Andhra Pradesh,2021,1,Vizianagaram,781,526804.0
Andhra Pradesh,2021,1,Visakhapatnam,4006,2403199.0
Andhra Pradesh,2021,1,Prakasam,1182,585354.0
Andhra Pradesh,2021,1,Anantapur,1264,621128.0
Andhra Pradesh,2021,1,Ysr,1265,729565.0
Andhra Pradesh,2021,1,West Godavari,1460,850251.0
Andhra Pradesh,2021,1,Kurnool,1270,508161.0
Andhra Pradesh,2021,1,Chittoor,1629,1058050.0
Andhra Pradesh,2021,1,Guntur,2412,1398326.0
Andhra Pradesh,2021,1,Krishna,2722,1699716.0
Andhra Pradesh,2021,2,East Godavari,2343,1695121.0
Andhra Pradesh,2021,2,Srikakulam,842,755796.0
Andhra Pradesh,2021,2,Spsr Nellore,1817,1245872.0
Andhra Pradesh,2021,2,Vizianagaram,815,702006.0
Andhra Pradesh,2021,2,Visakhapatnam,4655,3497573.0
Andhra Pradesh,2021,2,Prakasam,5308,2719134.0
Andhra Pradesh,2021,2,Anantapur,1631,1284850.0
Andhra Pradesh,2021,2,Ysr,1404,1026195.0
Andhra Pradesh,2021,2,West Godavari,4170,2327122.0
Andhra Pradesh,2021,2,Kurnool,1410,941389.0
Andhra Pradesh,2021,2,Chittoor,2392,1839579.0
Andhra Pradesh,2021,2,Guntur,2967,2201793.0
Andhra Pradesh,2021,2,Krishna,3451,2494257.0
Andhra Pradesh,2021,3,East Godavari,2248,2073825.0
Andhra Pradesh,2021,3,Srikakulam,798,803258.0
Andhra Pradesh,2021,3,Spsr Nellore,1486,1161025.0
Andhra Pradesh,2021,3,Vizianagaram,736,628946.0
Andhra Pradesh,2021,3,Visakhapatnam,4044,3191769.0
Andhra Pradesh,2021,3,Prakasam,1050,877683.0
Andhra Pradesh,2021,3,Anantapur,1329,1311735.0
Andhra Pradesh,2021,3,Ysr,1137,1033282.0
Andhra Pradesh,2021,3,West Godavari,1452,1216098.0
Andhra Pradesh,2021,3,Kurnool,1027,796678.0
Andhra Pradesh,2021,3,Chittoor,1991,1995617.0
Andhra Pradesh,2021,3,Guntur,2519,2102143.0
Andhra Pradesh,2021,3,Krishna,3258,2722279.0
Andhra Pradesh,2021,4,East Godavari,2532,3543718.0
Andhra Pradesh,2021,4,Srikakulam,1116,1152210.0
Andhra Pradesh,2021,4,Spsr Nellore,2369,2345876.0
Andhra Pradesh,2021,4,Vizianagaram,924,916336.0
Andhra Pradesh,2021,4,Visakhapatnam,4176,5425896.0
Andhra Pradesh,2021,4,Prakasam,1181,1328774.0
Andhra Pradesh,2021,4,Anantapur,1322,2101400.0
Andhra Pradesh,2021,4,Ysr,1449,1479933.0
Andhra Pradesh,2021,4,West Godavari,1262,1853561.0
Andhra Pradesh,2021,4,Kurnool,910,1306288.0
Andhra Pradesh,2021,4,Chittoor,2444,3100521.0
Andhra Pradesh,2021,4,Guntur,2709,3214794.0
Andhra Pradesh,2021,4,Krishna,3029,3841028.0
Andhra Pradesh,2022,1,East Godavari,3605,5199664.0
Andhra Pradesh,2022,1,Srikakulam,1004,1393633.0
Andhra Pradesh,2022,1,Spsr Nellore,1878,2608475.0
Andhra Pradesh,2022,1,Vizianagaram,949,1344329.0
Andhra Pradesh,2022,1,Visakhapatnam,5196,6953446.0
Andhra Pradesh,2022,1,Prakasam,1797,2181402.0
Andhra Pradesh,2022,1,Anantapur,1551,2556602.0
Andhra Pradesh,2022,1,Ysr,1439,2086496.0
Andhra Pradesh,2022,1,West Godavari,1991,3109555.0
Andhra Pradesh,2022,1,Kurnool,995,1641988.0
Andhra Pradesh,2022,1,Chittoor,2887,4304499.0
Andhra Pradesh,2022,1,Guntur,2748,3988284.0
Andhra Pradesh,2022,1,Krishna,3914,5279784.0
Andhra Pradesh,2022,2,East Godavari,3103,3899091.0
Andhra Pradesh,2022,2,Srikakulam,946,1282760.0
Andhra Pradesh,2022,2,Spsr Nellore,2063,2686947.0
Andhra Pradesh,2022,2,Vizianagaram,1145,1412957.0
Andhra Pradesh,2022,2,Visakhapatnam,5851,7046107.0
Andhra Pradesh,2022,2,Prakasam,1962,2331922.0
Andhra Pradesh,2022,2,Anantapur,1794,2729962.0
Andhra Pradesh,2022,2,Ysr,1418,1920103.0
Andhra Pradesh,2022,2,West Godavari,2141,2903957.0
Andhra Pradesh,2022,2,Kurnool,1233,1573534.0
Andhra Pradesh,2022,2,Chittoor,2836,4207850.0
Andhra Pradesh,2022,2,Guntur,3115,3979873.0
Andhra Pradesh,2022,2,Krishna,4578,5733009.0
Andhra Pradesh,2022,3,East Godavari,4355,5505134.0
Andhra Pradesh,2022,3,Srikakulam,1079,1444643.0
Andhra Pradesh,2022,3,Spsr Nellore,2593,3257610.0
Andhra Pradesh,2022,3,Vizianagaram,1270,1573445.0
Andhra Pradesh,2022,3,Visakhapatnam,6720,7779967.0
Andhra Pradesh,2022,3,Prakasam,2137,2552054.0
Andhra Pradesh,2022,3,Anantapur,1934,2719786.0
Andhra Pradesh,2022,3,Ysr,1892,2559169.0
Andhra Pradesh,2022,3,West Godavari,2314,3113617.0
Andhra Pradesh,2022,3,Kurnool,1318,1720753.0
Andhra Pradesh,2022,3,Chittoor,3729,5145111.0
Andhra Pradesh,2022,3,Guntur,4431,5271211.0
Andhra Pradesh,2022,3,Krishna,5529,6149431.0
Andhra Pradesh,2022,4,East Godavari,4450,5856052.0
Andhra Pradesh,2022,4,Srikakulam,1294,1623449.0
Andhra Pradesh,2022,4,Spsr Nellore,2733,3658896.0
Andhra Pradesh,2022,4,Vizianagaram,1373,1680979.0
Andhra Pradesh,2022,4,Visakhapatnam,7636,9911879.0
Andhra Pradesh,2022,4,Prakasam,2400,2848596.0
Andhra Pradesh,2022,4,Anantapur,2425,3710468.0
Andhra Pradesh,2022,4,Ysr,2261,2993022.0
Andhra Pradesh,2022,4,West Godavari,2623,3513389.0
Andhra Pradesh,2022,4,Kurnool,1810,2859172.0
Andhra Pradesh,2022,4,Chittoor,4641,6166050.0
Andhra Pradesh,2022,4,Guntur,5199,6244165.0
Andhra Pradesh,2022,4,Krishna,5484,6977122.0
Andhra Pradesh,2023,1,East Godavari,4069,5915626.0
Andhra Pradesh,2023,1,Srikakulam,1100,1628429.0
Andhra Pradesh,2023,1,Spsr Nellore,2461,3621734.0
Andhra Pradesh,2023,1,Vizianagaram,1104,1619607.0
Andhra Pradesh,2023,1,Visakhapatnam,6752,9502319.0
Andhra Pradesh,2023,1,Prakasam,1437,2188369.0
Andhra Pradesh,2023,1,Anantapur,1565,2882540.0
Andhra Pradesh,2023,1,Ysr,1509,2235497.0
Andhra Pradesh,2023,1,West Godavari,2196,3370241.0
Andhra Pradesh,2023,1,Kurnool,1208,2088411.0
Andhra Pradesh,2023,1,Chittoor,3284,5677174.0
Andhra Pradesh,2023,1,Guntur,3542,4957590.0
Andhra Pradesh,2023,1,Krishna,4693,6275818.0
Andhra Pradesh,2023,2,East Godavari,3690,5519480.0
Andhra Pradesh,2023,2,Srikakulam,1083,1556225.0
Andhra Pradesh,2023,2,Spsr Nellore,2468,3679371.0
Andhra Pradesh,2023,2,Vizianagaram,1227,1530183.0
Andhra Pradesh,2023,2,Visakhapatnam,7000,8910217.0
Andhra Pradesh,2023,2,Prakasam,1311,1880405.0
Andhra Pradesh,2023,2,Anantapur,1688,3027497.0
Andhra Pradesh,2023,2,Ysr,1652,2426306.0
Andhra Pradesh,2023,2,West Godavari,2140,3383512.0
Andhra Pradesh,2023,2,Kurnool,1473,2483871.0
Andhra Pradesh,2023,2,Chittoor,3756,5988173.0
Andhra Pradesh,2023,2,Guntur,3725,5015442.0
Andhra Pradesh,2023,2,Krishna,5163,6666796.0
Andhra Pradesh,2023,3,East Godavari,4157,5720660.0
Andhra Pradesh,2023,3,Srikakulam,1308,1724487.0
Andhra Pradesh,2023,3,Spsr Nellore,3082,3962298.0
Andhra Pradesh,2023,3,Vizianagaram,1274,1526422.0
Andhra Pradesh,2023,3,Visakhapatnam,8972,11107138.0
Andhra Pradesh,2023,3,Prakasam,1695,2170370.0
Andhra Pradesh,2023,3,Anantapur,1947,3392196.0
Andhra Pradesh,2023,3,Ysr,1900,2732465.0
Andhra Pradesh,2023,3,West Godavari,2308,3162591.0
Andhra Pradesh,2023,3,Kurnool,1723,2310997.0
Andhra Pradesh,2023,3,Chittoor,3993,6350318.0
Andhra Pradesh,2023,3,Guntur,4604,5810698.0
Andhra Pradesh,2023,3,Krishna,6187,7831756.0
Andhra Pradesh,2023,4,East Godavari,4294,6404501.0
Andhra Pradesh,2023,4,Srikakulam,1327,1851290.0
Andhra Pradesh,2023,4,Spsr Nellore,2739,3968074.0
Andhra Pradesh,2023,4,Vizianagaram,1350,1745449.0
Andhra Pradesh,2023,4,Visakhapatnam,8787,12027284.0
Andhra Pradesh,2023,4,Prakasam,1561,2357325.0
Andhra Pradesh,2023,4,Anantapur,2143,3651525.0
Andhra Pradesh,2023,4,Ysr,1923,2738253.0
Andhra Pradesh,2023,4,West Godavari,2198,3630998.0
Andhra Pradesh,2023,4,Kurnool,1829,3161720.0
Andhra Pradesh,2023,4,Chittoor,4025,7322967.0
Andhra Pradesh,2023,4,Guntur,4354,6154821.0
Andhra Pradesh,2023,4,Krishna,5268,7328216.0
Andhra Pradesh,2024,1,East Godavari,5344,6899327.0
Andhra Pradesh,2024,1,Srikakulam,1651,1876987.0
Andhra Pradesh,2024,1,Spsr Nellore,2931,3961012.0
Andhra Pradesh,2024,1,Vizianagaram,1683,2049836.0
Andhra Pradesh,2024,1,Visakhapatnam,9034,12016206.0
Andhra Pradesh,2024,1,Prakasam,1801,2513184.0
Andhra Pradesh,2024,1,Anantapur,2194,3722783.0
Andhra Pradesh,2024,1,Ysr,1935,2972264.0
Andhra Pradesh,2024,1,West Godavari,2808,4029842.0
Andhra Pradesh,2024,1,Kurnool,1916,2727094.0
Andhra Pradesh,2024,1,Chittoor,4784,6901394.0
Andhra Pradesh,2024,1,Guntur,4613,5985992.0
Andhra Pradesh,2024,1,Krishna,5888,7907881.0
Andhra Pradesh,2024,2,East Godavari,4730,6812370.0
Andhra Pradesh,2024,2,Srikakulam,1568,1961204.0
Andhra Pradesh,2024,2,Spsr Nellore,2708,4456805.0
Andhra Pradesh,2024,2,Vizianagaram,1575,1986175.0
Andhra Pradesh,2024,2,Visakhapatnam,9077,12170419.0
Andhra Pradesh,2024,2,Prakasam,2008,2858214.0
Andhra Pradesh,2024,2,Anantapur,1868,3445825.0
Andhra Pradesh,2024,2,Ysr,1652,2692864.0
Andhra Pradesh,2024,2,West Godavari,2505,3448213.0
Andhra Pradesh,2024,2,Kurnool,1664,2836292.0
Andhra Pradesh,2024,2,Chittoor,3925,6646337.0
Andhra Pradesh,2024,2,Guntur,3946,6093685.0
Andhra Pradesh,2024,2,Krishna,5321,7539878.0
Andhra Pradesh,2024,3,East Godavari,2001,3116536.0
Andhra Pradesh,2024,3,Srikakulam,1408,1957392.0
Andhra Pradesh,2024,3,Visakhapatnam,8553,12088761.0
Andhra Pradesh,2024,3,Sri Potti Sriramulu Nellore,2386,3626372.0
Andhra Pradesh,2024,3,Kurnool,960,1691366.0
Andhra Pradesh,2024,3,Guntur,3703,5419362.0
Andhra Pradesh,2024,3,Krishna,1321,1995792.0
Andhra Pradesh,2024,3,Spsr Nellore,1,5123.0
Andhra Pradesh,2024,3,Annamayya,1010,2118386.0
Andhra Pradesh,2024,3,Ananthapuramu,1310,2511508.0
Andhra Pradesh,2024,3,Vizianagaram,1608,2223183.0
Andhra Pradesh,2024,3,Tirupati,3517,5808106.0
Andhra Pradesh,2024,3,Alluri Sitharama Raju,278,356671.0
Andhra Pradesh,2024,3,Nandyal,615,1147603.0
Andhra Pradesh,2024,3,Sri Sathyasai,768,1615122.0
Andhra Pradesh,2024,3,Palnadu,960,1461960.0
Andhra Pradesh,2024,3,Prakasam,1405,1885692.0
Andhra Pradesh,2024,3,Parvathipuram Manyam,361,468615.0
Andhra Pradesh,2024,3,Anantapur,2,41706.0
Andhra Pradesh,2024,3,Dr Br Ambedkar Konaseema,882,1478929.0
Andhra Pradesh,2024,3,Bapatla,797,1356652.0
Andhra Pradesh,2024,3,Ntr,4856,6761184.0
Andhra Pradesh,2024,3,Kakinada,2269,3477318.0
Andhra Pradesh,2024,3,Anakapalli,1792,2253638.0
Andhra Pradesh,2024,3,Ysr,1406,2419022.0
Andhra Pradesh,2024,3,West Godavari,1154,1792789.0
Andhra Pradesh,2024,3,Eluru,1259,2088060.0
Andhra Pradesh,2024,3,Chittoor,1432,2748351.0
Andhra Pradesh,2024,4,East Godavari,2499,3119010.0
Andhra Pradesh,2024,4,Srikakulam,1874,2198375.0
Andhra Pradesh,2024,4,Visakhapatnam,9897,13254184.0
Andhra Pradesh,2024,4,Sri Potti Sriramulu Nellore,3193,4050293.0
Andhra Pradesh,2024,4,Kurnool,1371,2100914.0
Andhra Pradesh,2024,4,Guntur,4159,5517638.0
Andhra Pradesh,2024,4,Krishna,1706,2112206.0
Andhra Pradesh,2024,4,Annamayya,1343,2036321.0
Andhra Pradesh,2024,4,Ananthapuramu,1672,2619784.0
Andhra Pradesh,2024,4,Vizianagaram,1926,1988306.0
Andhra Pradesh,2024,4,Tirupati,4169,6081241.0
Andhra Pradesh,2024,4,Alluri Sitharama Raju,359,401184.0
Andhra Pradesh,2024,4,Nandyal,911,1339586.0
Andhra Pradesh,2024,4,Sri Sathyasai,1032,1634709.0
Andhra Pradesh,2024,4,Palnadu,1417,1540990.0
Andhra Pradesh,2024,4,Prakasam,2499,2645564.0
Andhra Pradesh,2024,4,Parvathipuram Manyam,452,451326.0
Andhra Pradesh,2024,4,Dr Br Ambedkar Konaseema,1203,1374247.0
Andhra Pradesh,2024,4,Bapatla,1175,1540112.0
Andhra Pradesh,2024,4,Ntr,7077,8504106.0
Andhra Pradesh,2024,4,Kakinada,2905,3879273.0
Andhra Pradesh,2024,4,Anakapalli,2018,2214934.0
Andhra Pradesh,2024,4,Ysr,1792,2640383.0
Andhra Pradesh,2024,4,West Godavari,1534,1956650.0
Andhra Pradesh,2024,4,Eluru,1638,2188266.0
Andhra Pradesh,2024,4,Chittoor,1604,2639312.0
Arunachal Pradesh,2020,2,Lower Dibang Valley,2,513.0
Arunachal Pradesh,2020,2,West Kameng,2,513.0
Arunachal Pradesh,2020,2,Lower Subansiri,1,231.0
Arunachal Pradesh,2020,2,West Siang,5,1124.0
Arunachal Pradesh,2020,2,Kamle,1,298.0
Arunachal Pradesh,2020,2,East Siang,2,469.0
Arunachal Pradesh,2020,2,Tirap,5,1026.0
Arunachal Pradesh,2020,2,Lepa Rada,1,282.0
Arunachal Pradesh,2020,2,Tawang,3,827.0
Arunachal Pradesh,2020,2,Namsai,1,231.0
Arunachal Pradesh,2020,2,Papum Pare,33,6304.0
Arunachal Pradesh,2020,2,Changlang,9,2511.0
Arunachal Pradesh,2020,3,Lower Dibang Valley,4,843.0
Arunachal Pradesh,2020,3,Lower Subansiri,1,662.0
Arunachal Pradesh,2020,3,Longding,1,166.0
Arunachal Pradesh,2020,3,West Siang,5,2052.0
Arunachal Pradesh,2020,3,Kamle,1,166.0
Arunachal Pradesh,2020,3,Upper Siang,1,281.0
Arunachal Pradesh,2020,3,Tirap,3,939.0
Arunachal Pradesh,2020,3,Papum Pare,60,15776.0
Arunachal Pradesh,2020,3,Siang,1,184.0
Arunachal Pradesh,2020,3,Lower Siang,1,662.0
Arunachal Pradesh,2020,3,Changlang,2,364.0
Arunachal Pradesh,2020,3,Dibang Valley,3,66.0
Arunachal Pradesh,2020,3,West Kameng,12,3466.0
Arunachal Pradesh,2020,3,East Siang,22,9675.0
Arunachal Pradesh,2020,3,Upper Subansiri,2,66.0
Arunachal Pradesh,2020,3,East Kameng,2,695.0
Arunachal Pradesh,2020,3,Lohit,9,1557.0
Arunachal Pradesh,2020,3,Lepa Rada,1,548.0
Arunachal Pradesh,2020,3,Tawang,1,33.0
Arunachal Pradesh,2020,3,Namsai,3,1486.0
Arunachal Pradesh,2020,4,Lower Dibang Valley,9,1981.0
Arunachal Pradesh,2020,4,Lower Subansiri,1,32.0
Arunachal Pradesh,2020,4,West Siang,1,162.0
Arunachal Pradesh,2020,4,Tirap,4,1561.0
Arunachal Pradesh,2020,4,Papum Pare,48,21298.0
Arunachal Pradesh,2020,4,Siang,2,691.0
Arunachal Pradesh,2020,4,Lower Siang,1,33.0
Arunachal Pradesh,2020,4,Changlang,7,5505.0
