state,year,quarter,registered_users,app_opens
Tamil Nadu,2018,3,3900177,0
Tamil Nadu,2018,4,5199878,0
Tamil Nadu,2019,1,6296303,0
Tamil Nadu,2019,2,7429609,33658961
Tamil Nadu,2019,3,8428835,124690342
Tamil Nadu,2019,4,9620493,155011717
Tamil Nadu,2020,1,10872368,179908753
Tamil Nadu,2020,2,12150786,144907447
Tamil Nadu,2020,3,13643451,194683284
Tamil Nadu,2020,4,15357586,288233552
Tamil Nadu,2021,1,16632608,348801714
Tamil Nadu,2021,2,17804542,343968474
Tamil Nadu,2021,3,19127440,459826734
Tamil Nadu,2021,4,20433142,685861440
Tamil Nadu,2022,1,21667020,638490275
Tamil Nadu,2022,2,22829720,740265406
Tamil Nadu,2022,3,24019964,866738343
Tamil Nadu,2022,4,25136112,1229187623
Tamil Nadu,2023,1,26270663,989061650
Tamil Nadu,2023,2,27317599,991611987
Tamil Nadu,2023,3,28405436,1117719858
Tamil Nadu,2023,4,29452801,1831285792
Tamil Nadu,2024,1,30638750,1089065562
Tamil Nadu,2024,2,31818880,1071832085
Tamil Nadu,2024,3,32965209,1237507205
Tamil Nadu,2024,4,33966610,2229881172
Telangana,2018,1,3315560,0
Telangana,2018,2,4260115,0
Telangana,2018,3,5138501,0
Telangana,2018,4,6529679,0
Telangana,2019,1,7963425,0
Telangana,2019,2,9046007,80842302
Telangana,2019,3,10090557,318124511
Telangana,2019,4,11220691,399239044
Telangana,2020,1,12306860,454723816
Telangana,2020,2,13378191,367130505
Telangana,2020,3,14590882,527781925
Telangana,2020,4,15927797,764614235
Telangana,2021,1,17149069,920040042
Telangana,2021,2,18306880,905317692
Telangana,2021,3,19615278,1107529197
Telangana,2021,4,20917649,1407599392
Telangana,2022,1,22150612,1168864524
Telangana,2022,2,23314363,1276259370
Telangana,2022,3,24506111,1255597644
Telangana,2022,4,25656381,1731228513
Telangana,2023,1,26804259,1305656447
Telangana,2023,2,27814633,1339967792
Telangana,2023,3,28896668,993742805
Telangana,2023,4,29902636,1520428750
Telangana,2024,1,31082447,933319286
Telangana,2024,2,32232171,1007869816
Telangana,2024,3,30776242,1397303246
Telangana,2024,4,31726856,2014592558
Tripura,2018,1,55157,0
Tripura,2018,2,83369,0
Tripura,2018,3,116874,0
Tripura,2018,4,153265,0
Tripura,2019,1,183254,0
Tripura,2019,2,217644,953627
Tripura,2019,3,245456,3350991
Tripura,2019,4,272298,3610807
Tripura,2020,1,299962,4063223
Tripura,2020,2,336666,4443221
Tripura,2020,3,376731,5777908
Tripura,2020,4,409110,6017249
Tripura,2021,1,439636,6009660
Tripura,2021,2,472153,9500881
Tripura,2021,3,509929,12279146
Tripura,2021,4,546292,10728702
Tripura,2022,1,582124,19322963
Tripura,2022,2,615782,21343111
Tripura,2022,3,649143,24123569
Tripura,2022,4,678741,16107610
Tripura,2023,1,710884,29736641
Tripura,2023,2,743024,30819207
Tripura,2023,3,774678,49942954
Tripura,2023,4,806344,43591962
Tripura,2024,1,842135,81407836
Tripura,2024,2,876724,97341017
Tripura,2024,3,916336,134585619
Tripura,2024,4,948916,56659293
Uttar Pradesh,2018,1,4694250,0
Uttar Pradesh,2018,2,6442554,0
Uttar Pradesh,2018,3,8096483,0
Uttar Pradesh,2018,4,10341964,0
Uttar Pradesh,2019,1,12458661,0
Uttar Pradesh,2019,2,14316349,78394040
Uttar Pradesh,2019,3,16044607,268142606
Uttar Pradesh,2019,4,17949542,324068625
Uttar Pradesh,2020,1,20136256,374282083
Uttar Pradesh,2020,2,22498519,383703534
Uttar Pradesh,2020,3,24838116,450784508
Uttar Pradesh,2020,4,27249134,552220798
Uttar Pradesh,2021,1,29482075,639718324
Uttar Pradesh,2021,2,31651894,673598864
Uttar Pradesh,2021,3,34151882,803890116
Uttar Pradesh,2021,4,36617655,1175923794
Uttar Pradesh,2022,1,38999692,836926025
Uttar Pradesh,2022,2,41247289,947480495
Uttar Pradesh,2022,3,43537920,1035702397
Uttar Pradesh,2022,4,45648650,1682003791
Uttar Pradesh,2023,1,47806049,1401343916
Uttar Pradesh,2023,2,49829833,1731600947
Uttar Pradesh,2023,3,51870932,2143192720
Uttar Pradesh,2023,4,53799813,3620813944
Uttar Pradesh,2024,1,56028765,3113045884
Uttar Pradesh,2024,2,58199149,3406733148
Uttar Pradesh,2024,3,67922000,2512362184
Uttar Pradesh,2024,4,70474113,5080900941
Uttarakhand,2018,1,483043,0
Uttarakhand,2018,2,649142,0
Uttarakhand,2018,3,810612,0
Uttarakhand,2018,4,1012103,0
Uttarakhand,2019,1,1224955,0
Uttarakhand,2019,2,1414339,7454279
Uttarakhand,2019,3,1585859,24660988
Uttarakhand,2019,4,1752677,28853867
Uttarakhand,2020,1,1943606,32631265
Uttarakhand,2020,2,2148567,31074793
Uttarakhand,2020,3,2365438,40377348
Uttarakhand,2020,4,2596244,52564888
Uttarakhand,2021,1,2802122,59282260
Uttarakhand,2021,2,3004040,78380036
Uttarakhand,2021,3,3233509,90886530
Uttarakhand,2021,4,3460015,110928354
Uttarakhand,2022,1,3674829,115224382
Uttarakhand,2022,2,3877056,156465685
Uttarakhand,2022,3,4081976,152803850
Uttarakhand,2022,4,4272049,160685547
Uttarakhand,2023,1,4464369,181738693
Uttarakhand,2023,2,4645322,240804293
Uttarakhand,2023,3,4829992,217340168
Uttarakhand,2023,4,5001826,287470297
Uttarakhand,2024,1,5202251,264812749
Uttarakhand,2024,2,5395292,309932840
Uttarakhand,2024,3,5423770,414813742
Uttarakhand,2024,4,5575922,354208067
West Bengal,2018,1,2604789,0
West Bengal,2018,2,3833795,0
West Bengal,2018,3,4851740,0
West Bengal,2018,4,6279278,0
West Bengal,2019,1,7449425,0
West Bengal,2019,2,8612795,49514201
West Bengal,2019,3,9643222,176559011
West Bengal,2019,4,10885058,244326613
West Bengal,2020,1,11960822,207068218
West Bengal,2020,2,13222022,198589332
West Bengal,2020,3,14448366,246554831
West Bengal,2020,4,15662093,291721919
West Bengal,2021,1,16808799,316832674
West Bengal,2021,2,17979979,275341466
West Bengal,2021,3,19323278,348588666
West Bengal,2021,4,20644527,512335839
West Bengal,2022,1,21919787,236131065
West Bengal,2022,2,23124388,250276369
West Bengal,2022,3,24372048,256445748
West Bengal,2022,4,25536381,678066327
West Bengal,2023,1,26732895,321102681
West Bengal,2023,2,27827662,350862668
West Bengal,2023,3,28966414,473450373
West Bengal,2023,4,30064546,1467442959
West Bengal,2024,1,31306843,633526507
West Bengal,2024,2,32540397,704276274
West Bengal,2024,3,33612828,709864323
West Bengal,2024,4,34750181,1994940763
India,2018,1,46877867,0
India,2018,2,63648311,0
India,2018,3,80010952,0
India,2018,4,102262055,0
India,2019,1,123432699,0
India,2019,2,141808226,920413791
India,2019,3,159293934,3448366103
India,2019,4,178279085,4301071954
India,2020,1,197575164,4768944662
India,2020,2,218996326,4357634272
India,2020,3,241169683,5739326491
India,2020,4,264271293,7461623162
India,2021,1,284985430,8635508502
India,2021,2,305258086,9630620549
India,2021,3,328354923,12256377890
India,2021,4,351161395,15172529039
India,2022,1,372951831,15724195113
India,2022,2,393424643,17786667567
India,2022,3,414324881,19223454074
India,2022,4,433947940,21262699669
India,2023,1,453886185,22927510601
India,2023,2,472369901,24931188217
India,2023,3,491434385,27225177134
India,2023,4,509358280,29936587770
India,2024,1,530084540,32626239822
India,2024,2,550287982,35407900260
India,2024,3,568010051,38129751823
India,2024,4,586756452,40416377679
