state,year,quarter,district,registered_users,app_opens
Andhra Pradesh,2018,2,Anantapur,326383,0
Andhra Pradesh,2018,2,Kurnool,319313,0
Andhra Pradesh,2018,2,Guntur,420326,0
Andhra Pradesh,2018,2,Krishna,431965,0
Andhra Pradesh,2018,2,Spsr Nellore,261049,0
Andhra Pradesh,2018,2,Vizianagaram,167327,0
Andhra Pradesh,2018,2,Ysr,248657,0
Andhra Pradesh,2018,2,West Godavari,282393,0
Andhra Pradesh,2018,2,Chittoor,414306,0
Andhra Pradesh,2018,3,East Godavari,558982,0
Andhra Pradesh,2018,3,Srikakulam,228456,0
Andhra Pradesh,2018,3,Visakhapatnam,769096,0
Andhra Pradesh,2018,3,Prakasam,314899,0
Andhra Pradesh,2018,3,Anantapur,405855,0
Andhra Pradesh,2018,3,Kurnool,394311,0
Andhra Pradesh,2018,3,Guntur,518931,0
Andhra Pradesh,2018,3,Krishna,537086,0
Andhra Pradesh,2018,3,Spsr Nellore,322446,0
Andhra Pradesh,2018,3,Vizianagaram,203655,0
Andhra Pradesh,2018,3,Ysr,308391,0
Andhra Pradesh,2018,3,West Godavari,349782,0
Andhra Pradesh,2018,3,Chittoor,515727,0
Andhra Pradesh,2018,4,East Godavari,694455,0
Andhra Pradesh,2018,4,Srikakulam,284874,0
Andhra Pradesh,2018,4,Visakhapatnam,978288,0
Andhra Pradesh,2018,4,Prakasam,394962,0
Andhra Pradesh,2018,4,Anantapur,510892,0
Andhra Pradesh,2018,4,Kurnool,498582,0
Andhra Pradesh,2018,4,Guntur,659552,0
Andhra Pradesh,2018,4,Krishna,682479,0
Andhra Pradesh,2018,4,Spsr Nellore,407495,0
Andhra Pradesh,2018,4,Vizianagaram,257824,0
Andhra Pradesh,2018,4,Ysr,387058,0
Andhra Pradesh,2018,4,West Godavari,435668,0
Andhra Pradesh,2018,4,Chittoor,665280,0
Andhra Pradesh,2019,1,East Godavari,839277,0
Andhra Pradesh,2019,1,Srikakulam,345775,0
Andhra Pradesh,2019,1,Visakhapatnam,1174517,0
Andhra Pradesh,2019,1,Prakasam,474260,0
Andhra Pradesh,2019,1,Anantapur,612162,0
Andhra Pradesh,2019,1,Kurnool,599422,0
Andhra Pradesh,2019,1,Guntur,802394,0
Andhra Pradesh,2019,1,Krishna,833694,0
Andhra Pradesh,2019,1,Spsr Nellore,491908,0
Andhra Pradesh,2019,1,Vizianagaram,313334,0
Andhra Pradesh,2019,1,Ysr,460590,0
Andhra Pradesh,2019,1,West Godavari,523372,0
Andhra Pradesh,2019,1,Chittoor,812314,0
